tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date,
"6703550784929793030","addisonre","20548958","1678","760942636","559","11.6","0","2020-03-03+07:31:01",
"6703550784929793030","addisonre","20351802","1674","752235085","557","11","1","2020-03-02+20:59:01",
"6703550784929793030","addisonre","20154646","1670","743527534","555","10","1","2020-03-01+20:59:01",
"6703550784929793030","addisonre","19957490","1666","734819983","554","10.17","0","2020-02-29+20:59:01",
"6703550784929793030","addisonre","19695173","1656","720313859","548","10","1","2020-02-28+15:14:01",
"6703550784929793030","addisonre","19432857","1647","705807736","542","10.36","0","2020-02-27+15:14:01",
"6703550784929793030","addisonre","19120310","1640","687913619","538","9.75","0","2020-02-26+01:14:01",
"6703550784929793030","addisonre","18927116","1635","675369154","533","9","1","2020-02-25+12:52:01",
"6703550784929793030","addisonre","18733928","1630","662825084","529","9.74","0","2020-02-24+12:52:01",
"6703550784929793030","addisonre","18368175","1629","647313474","524","10.1","0","2020-02-23+01:28:01",
"6703550784929793030","addisonre","18143979","1626","638429722","521","10","1","2020-02-22+16:50:01",
"6703550784929793030","addisonre","17919787","1623","629546070","518","11.64","0","2020-02-21+16:50:01",
"6703550784929793030","addisonre","17595321","1622","615222878","513","13.41","0","2020-02-20+08:32:01",
"6703550784929793030","addisonre","17320784","1618","602875846","509","12","1","2020-02-19+06:42:01",
"6703550784929793030","addisonre","17046247","1614","590528814","506","12","1","2020-02-18+06:42:01",
"6703550784929793030","addisonre","16771710","1610","578181783","503","12","1","2020-02-17+06:42:01",
"6703550784929793030","addisonre","16497173","1607","565834751","500","11","1","2020-02-16+06:42:01",
"6703550784929793030","addisonre","16222636","1603","553487719","496","11","1","2020-02-15+06:42:01",
"6703550784929793030","addisonre","15948099","1599","541140688","493","10","1","2020-02-14+06:42:01",
"6703550784929793030","addisonre","15673562","1595","528793656","490","10","1","2020-02-13+06:42:01",
"6703550784929793030","addisonre","15399026","1592","516446625","487","9.92","0","2020-02-12+06:42:01",
"6703550784929793030","addisonre","15262831","1586","509401813","483","9","1","2020-02-11+19:21:01",
"6703550784929793030","addisonre","15126636","1581","502357002","480","9.91","0","2020-02-10+19:21:01",
