text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
plz enjoy this during ur quarantine😌🤘🏼 @jack.wright (@tizzy.tm),1584730776,jameswrightt,19040642,86,Bad Boy,"Yung Bae, bbno$ & Billy Marchiafava",13,130733,881,779872,1134,"[""@jack"",""@tizzy""]",[],2020-03-20,17.021767674695333,1
"this isn’t usual content, sorry, but we worked pretty hard on the dance😔",1584650332,jameswrightt,19040642,86,Mac Demarco - Freaking Out the Neighborhood,gogogabriella,9,124519,425,799022,3132,[],[],2020-03-19,16.02909556933351,1
we need to stop this @jack.wright,1584482912,jameswrightt,19040642,86,homage,lovdaudios,11,491858,1499,2341752,1533,"[""@jack""]",[],2020-03-17,21.133322401347368,1
SPEAKING IN CURSIVE CHALLENGE😤😤 (ib: @callinallgamers),1584473456,jameswrightt,19040643,86,original sound,jameswrightt,46,353638,3985,1493690,1243,"[""@callinallgamers""]",[],2020-03-17,24.025467131734164,1
DOING THE DANCE W/ THE LEGEND HERSELF @zoifishh @jack.wright,1584415119,jameswrightt,19040643,86,Supalonely (feat. Gus Dapperton),BENEE,24,262340,3170,1562198,803,"[""@zoifishh"",""@jack""]",[],2020-03-16,17.04732690734465,1
my last two white blood cells fighting off the corona virus @avani @jack.wright,1584398602,jameswrightt,19040643,86,Funky Town,The Dance Queen Group,10,223205,1683,1029698,1074,"[""@avani"",""@jack""]",[],2020-03-16,21.944492462838618,1
IT’S A CHOPPA @lilhuddy @jack.wright,1584378180,jameswrightt,19040643,86,Pew Pew Pew,Auntie Hammy,15,725810,4857,4795831,1687,"[""@lilhuddy"",""@jack""]","[{""id"":""335774"",""name"":""pewpewpew"",""title"":""Oh here we go, pew pew pew BIG HEAD moves are a vibe!!🔥\n\nHow to shoot: \n1) Click the shoot icon. \n2) Click on 'sounds' at the top of your screen and select the PewPewPew. \n3) Shoot with [Big Head] sticker.\n4) Add #pewpewpew to your caption."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/c27da8a38d001e2ef774424b967c9df0""]}]",2020-03-16,15.270638185540733,1
JACK CAN’T TURN THE RIGHT WAY @addisonre @jack.wright #fail,1584325053,jameswrightt,19040643,86,Over it Chinese New Year Remix by JohhnyG,kingvader,15,909961,5535,4158288,1395,"[""@addisonre"",""@jack""]","[{""id"":""5013"",""name"":""fail"",""title"":""adding a new description"",""cover"":[]}]",2020-03-15,22.049723347685394,1
that’s life in the HYPEHOUSE @jack.wright @avani,1584320931,jameswrightt,19040643,86,original sound,jameswrightt,14,995369,6201,3665197,2211,"[""@jack"",""@avani""]",[],2020-03-15,27.386822590982153,1
family @addisonre @jack.wright,1584313466,jameswrightt,19040643,86,Over it Chinese New Year Remix by JohhnyG,kingvader,15,407515,2209,2006892,1033,"[""@addisonre"",""@jack""]",[],2020-03-15,20.46731961660119,1
more like triplets😳 @ondreazlopez_ @jack.wright,1584310356,jameswrightt,19040643,86,yike or die remix,sydneybourne_,15,281838,1676,1186923,988,"[""@ondreazlopez_"",""@jack""]",[],2020-03-15,23.96970991378548,1
IT’S MASHUP TIME @jack.wright,1584238519,jameswrightt,19040643,86,Like That X Sunday Best,rapidsongs,12,149553,857,866067,514,"[""@jack""]",[],2020-03-14,17.426365396672544,1
WORLDSTARRRR @jack.wright,1584054556,jameswrightt,19040643,86,original sound,thereallightskinmonte,15,155428,1203,838028,582,"[""@jack""]",[],2020-03-12,18.759874371739368,1
JACK HIT MY NOSE SO HARD💀💀 @jack.wright,1583885067,jameswrightt,19040643,86,Supalonely X Glitter,rapidsongs,14,253720,1904,1111222,761,"[""@jack""]",[],2020-03-10,23.072347379731504,1
and that’s on PAYBACK @jack.wright @kyligagnon (dc: @madi),1583709546,jameswrightt,19040643,86,Just like that come my way,jordanaudiož,13,180127,617,798464,829,"[""@jack"",""@kyligagnon"",""@madi""]",[],2020-03-08,22.7402863497916,1
my LIFETIME best friend @jack.wright,1583511624,jameswrightt,19040643,86,Otherside,Perfume Genius,15,255801,1524,1139305,733,"[""@jack""]",[],2020-03-06,22.65047550919201,1
i’m going through it guys😔 @jack.wright #ironic,1583461743,jameswrightt,19040643,86,sparks,realifefeelings,10,231028,489,1035093,755,"[""@jack""]","[{""id"":""95898"",""name"":""ironic"",""title"":"""",""cover"":[]}]",2020-03-05,22.439722807515846,1
I HAVEN’T BEEN ABLE TO POST IN A WEEK so here’s me annoying jack bc i’m happy @jack.wright,1583092206,jameswrightt,19040643,86,sugar by brockhampton but with a surprise,adamohmusic,14,84710,444,447821,422,"[""@jack""]",[],2020-03-01,19.10942095167489,1
someone tell @jack.wright to put a shirt on,1582409291,jameswrightt,19040643,86,CITY OF ANGELS 24KGoldn Funk Remix,llusionmusic,14,160413,1764,879585,1005,"[""@jack""]",[],2020-02-22,18.55215812002251,1
JUST ME & @jack.wright GETTIN’ JIGGY WITH IT,1582337907,jameswrightt,19040643,86,Sunday Best x Dont Start Now,goalsounds,15,171327,2203,995291,597,"[""@jack""]",[],2020-02-21,17.49508435221458,1
me and @jack.wright had so much fun when we were small,1582170502,jameswrightt,19040643,86,original sound,jameswrightt,9,110829,1389,569632,523,"[""@jack""]",[],2020-02-19,19.79190073591371,1
I WENT 🤢 AND JACK WENT 😄😳😮@jack.wright,1581983926,jameswrightt,19040643,86,Acid Dreams,MAX & Felly,10,90218,1082,574793,357,"[""@jack""]",[],2020-02-17,15.946088417917407,1
THAT’S LIFE #glowup,1581826277,jameswrightt,19040643,86,to be so lonely X confidence,keanejin,14,462072,4112,2193636,1533,[],"[{""id"":""82249"",""name"":""glowup"",""title"":""Just wait until we #GlowUp."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/7dadf53d511d462320f94351a858f5c2""]}]",2020-02-15,21.321541039625536,1
GRADE A ACTING @jack.wright,1581544960,jameswrightt,19040643,86,original sound,chambie.dols,15,124952,1528,694564,373,"[""@jack""]",[],2020-02-12,18.263687723521517,1
THIS WAS STRAIGHT UP SO FUN @jack.wright,1581126668,jameswrightt,19040643,86,original sound,lifeineed,11,131111,3011,826789,587,"[""@jack""]",[],2020-02-07,16.29303244237647,1
JACK HIT A MILLION I’M SO PROUD OF HIM @jack.wright,1580530751,jameswrightt,19040643,86,Blinding Lights,The Weeknd,15,156836,2411,1130504,572,"[""@jack""]",[],2020-01-31,14.136968997898283,1
I GOT VERIFIED Y’ALL IM SO EXCITED THANK YOU❤️ @jack.wright,1580439446,jameswrightt,19040643,86,Memories (Drinks Bring Back),Ajay Stephens,15,226812,2707,1311765,1089,"[""@jack""]",[],2020-01-30,17.579978121081137,1
y’all lookin at @jack.wright but i’m focused on @ondreazlopez_ & @bryant just vibin’ on their phones,1580170746,jameswrightt,19040643,86,Baby One More Time,corynation,15,271852,3881,1741703,701,"[""@jack"",""@ondreazlopez_"",""@bryant""]",[],2020-01-27,15.871477513674833,1
going back to our ROOTS @jack.wright,1580001222,jameswrightt,19040643,86,hey ya rockstar,emetuttell,7,256054,1806,1527975,498,"[""@jack""]",[],2020-01-25,16.908522717976407,1
I CAN’T BELIEVE HE ACTUALLY DID IT @jack.wright,1579831749,jameswrightt,19040643,86,follow nataliejcoleman for good audios,officialnataliec,14,361513,3461,2429978,1729,"[""@jack""]",[],2020-01-23,15.090795060696022,1
i swear if touch my truck😳 @jack.wright,1579241965,jameswrightt,19040643,86,My Truck,Breland,13,92075,1834,843206,281,"[""@jack""]",[],2020-01-16,11.170461310759174,1
wishing you GOOD VIBES ONLY in the new year #2020 @jack.wright,1577837803,jameswrightt,19040643,86,kid fran moon,crackboi69,15,119663,2420,1205243,895,"[""@jack""]","[{""id"":""185148"",""name"":""2020"",""title"":"""",""cover"":[]}]",2019-12-31,10.203585501015148,1
okay but do u like this lil’ jig we made? 😳 @avani @jack.wright,1577757677,jameswrightt,19040645,86,Follow meh if u used this sound heheheje,joyfulivy,6,150894,4316,1282103,412,"[""@avani"",""@jack""]",[],2019-12-30,12.13802635201696,1
when really be vibin’ doe 😳😳 @addisonre @jack.wright,1577555483,jameswrightt,19040645,86,SUGAR,BROCKHAMPTON,13,143315,1847,1233229,294,"[""@addisonre"",""@jack""]",[],2019-12-28,11.794727499920938,1
just ross lynch and his twin dancin’ #dance #twins @jack.wright,1577231629,jameswrightt,19040645,86,Get Up (feat Chamillionaire),Ciara,15,311968,7191,2111790,848,"[""@jack""]","[{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]}]",2019-12-24,15.15335331638089,1
😳😳😳😳 @charlidamelio @jack.wright,1576969666,jameswrightt,19040645,86,American Boy but Shibuya is there too,goalsounds,13,241390,3858,2305546,505,"[""@charlidamelio"",""@jack""]",[],2019-12-21,10.659210442992679,1
IT’S CHRISTMAS TIME 🎅🏼 #christmas #twins @jack.wright,1576551257,jameswrightt,19040645,86,original sound,мιdnιgнтlιgнт,14,109367,4439,1258381,439,"[""@jack""]","[{""id"":""3242"",""name"":""christmas"",""title"":""It's the most wonderful time of the year again, capture and share those moments with your loved ones"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/d255fa0ededb6d85415502e5020ff65d""]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]}]",2019-12-16,9.078728938215056,0
vibin’ with our DOG?!?!? 😳 #foryou #dance #twins,1576132218,jameswrightt,19040645,86,Blueberry Faygo,Lil Mosey,15,315282,13070,2111137,1069,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]}]",2019-12-11,15.603961277738016,0
this was TOO FUN to make #dance #foryou #twins,1575419046,jameswrightt,19040645,86,original sound,oliviaelysse,15,489833,71415,4181397,3052,[],"[{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]}]",2019-12-03,13.495489665296073,0
did we pass the vibe check?!?!? #foryou #dance,1574912433,jameswrightt,19040645,86,Hustle,Billy Marchiafava,15,290574,23915,1973785,2033,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]}]",2019-11-27,16.036295746497213,0
LET’S HOPE SHE SAYS YES (should i film her reaction) #foryou #relationship,1572732652,jameswrightt,19040645,86,the song is she by dodie,pigeon_heck,13,127440,1138,987942,438,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""14328"",""name"":""relationship"",""title"":"""",""cover"":[]}]",2019-11-02,13.05906622048663,0
