tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date,
"79609045006872576","avani","9204237","4263","487936078","4184","12","1","2020-01-26+14:20:01",
"79609045006872576","avani","9122780","4261","483455483","4185","12","1","2020-01-25+14:20:01",
"79609045006872576","avani","9041322","4259","478974888","4187","12","1","2020-01-24+14:20:01",
"79609045006872576","avani","8959865","4257","474494293","4188","12","1","2020-01-23+14:20:01",
"79609045006872576","avani","8878408","4255","470013698","4190","12","1","2020-01-22+14:20:01",
"79609045006872576","avani","8796951","4253","465533103","4191","12","1","2020-01-21+14:20:01",
"79609045006872576","avani","8715493","4251","461052508","4192","12","1","2020-01-20+14:20:01",
"79609045006872576","avani","8634036","4249","456571913","4194","12","1","2020-01-19+14:20:01",
"79609045006872576","avani","8552579","4247","452091318","4195","13","1","2020-01-18+14:20:01",
"79609045006872576","avani","8471121","4245","447610723","4197","13","1","2020-01-17+14:20:01",
"79609045006872576","avani","8389664","4243","443130128","4198","13","1","2020-01-16+14:20:01",
"79609045006872576","avani","8308207","4241","438649533","4200","13","1","2020-01-15+14:20:01",
"79609045006872576","avani","8226749","4239","434168938","4201","13","1","2020-01-14+14:20:01",
"79609045006872576","avani","8145292","4237","429688343","4203","13","1","2020-01-13+14:20:01",
"79609045006872576","avani","8063835","4235","425207748","4204","13","1","2020-01-12+14:20:01",
"79609045006872576","avani","7982377","4233","420727153","4205","13","1","2020-01-11+14:20:01",
"79609045006872576","avani","7900920","4231","416246558","4207","13","1","2020-01-10+14:20:01",
"79609045006872576","avani","7819463","4229","411765963","4208","13","1","2020-01-09+14:20:01",
"79609045006872576","avani","7738005","4227","407285368","4210","13","1","2020-01-08+14:20:01",
"79609045006872576","avani","7656548","4225","402804773","4211","14","1","2020-01-07+14:20:01",
"79609045006872576","avani","7575091","4223","398324178","4213","14","1","2020-01-06+14:20:01",
"79609045006872576","avani","7493633","4221","393843583","4214","14","1","2020-01-05+14:20:01",
"79609045006872576","avani","7412176","4219","389362988","4216","14","1","2020-01-04+14:20:01",
"79609045006872576","avani","7330719","4217","384882393","4217","14","1","2020-01-03+14:20:01",
"79609045006872576","avani","7249262","4215","380401798","4219","14.48","0","2020-01-02+14:20:01",
"79609045006872576","avani","7134494","4214","375531095","4217","13","1","2020-01-01+04:43:01",
"79609045006872576","avani","7019726","4214","370660393","4215","12.41","0","2019-12-31+04:43:01",
"79609045006872576","avani","6905567","4213","366625449","4212","11","1","2019-12-30+20:24:01",
"79609045006872576","avani","6791408","4212","362590505","4210","9","1","2019-12-29+20:24:01",
"79609045006872576","avani","6677250","4212","358555561","4208","8.73","0","2019-12-28+20:24:01",
"79609045006872576","avani","6555104","4210","353799801","4204","7","1","2019-12-27+13:25:01",
"79609045006872576","avani","6432959","4209","349044042","4201","5.71","0","2019-12-26+13:25:01",
"79609045006872576","avani","6405881","4206","347121699","4198","5","1","2019-12-25+18:11:01",
"79609045006872576","avani","6378803","4203","345199356","4195","4","1","2019-12-24+18:11:01",
"79609045006872576","avani","6351725","4200","343277013","4192","4","1","2019-12-23+18:11:01",
"79609045006872576","avani","6324648","4197","341354670","4189","4.19","0","2019-12-22+18:11:01",
"79609045006872576","avani","6296462","4193","339670130","4184","4","1","2019-12-21+16:47:01",
"79609045006872576","avani","6268276","4189","337985590","4180","4.81","0","2019-12-20+16:47:01",
