text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
GUYS WE JUST MET @addisonre LOOK,1584839586,thehypehouse,376697318,219,Addison Rae,The Kid LAROI,10,2514333,7811,16069757,24182,"[""@addisonre""]",[],2020-03-21,15.8454542903169,1
we’re arguing about who’s better at throwing it back @lilhuddy @ondreazlopez_,1584834978,thehypehouse,376697318,219,original sound,fire.soundz0,7,1352552,4946,8321383,41343,"[""@lilhuddy"",""@ondreazlopez_""]",[],2020-03-21,16.810198497052713,1
5AM tingz😂 @alexwaarren @k0uvr,1584707834,thehypehouse,376697318,219,original sound,thehypehouse,29,2503946,10549,9524720,15389,"[""@alexwaarren"",""@k0uvr""]",[],2020-03-20,26.56124274519356,1
it’s a choppa @lilhuddy @tonylopez__ @nickaustinn,1584654420,thehypehouse,376697318,219,Pew Pew Pew,Auntie Hammy,15,3975220,25784,26401974,18518,"[""@lilhuddy"",""@tonylopez__"",""@nickaustinn""]","[{""id"":""335774"",""name"":""pewpewpew"",""title"":""Oh here we go, pew pew pew BIG HEAD moves are a vibe!!🔥\n\nHow to shoot: \n1) Click the shoot icon. \n2) Click on 'sounds' at the top of your screen and select the PewPewPew. \n3) Shoot with [Big Head] sticker.\n4) Add #pewpewpew to your caption."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/c27da8a38d001e2ef774424b967c9df0""]}]",2020-03-19,15.224323757003926,1
hi it’s @avani and this is what happens when i’m quarantined  (makeup& fake blood),1584649528,thehypehouse,376697318,219,original sound,thehypehouse,9,1408878,3825,7971013,8425,"[""@avani""]",[],2020-03-19,17.828700066102012,1
I like your skechers @jameswrightt @jack.wright,1584493928,thehypehouse,376697318,219,Skechers,DripReport,15,1878815,23053,12681619,11072,"[""@jameswrightt"",""@jack""]",[],2020-03-17,15.084351611572625,1
Spring break be like,1584487825,thehypehouse,376697318,219,Take it easy by surfaces,rapidsongs,15,1816265,5759,8830926,7312,[],[],2020-03-17,20.715109604587333,1
yes @lilhuddy @avani,1584406516,thehypehouse,376697328,219,Over it Chinese New Year Remix by JohhnyG,kingvader,15,4412501,38177,23288773,24960,"[""@lilhuddy"",""@avani""]",[],2020-03-16,19.21800689113162,1
ryland took nick out😭💀,1584321303,thehypehouse,376697328,219,ADDISON USED MY SOUND,unixzlp,10,4018479,25913,19767716,17667,[],[],2020-03-15,20.54895466932042,1
@k0uvr finally taught me @alexwaarren,1584313589,thehypehouse,376697328,219,original sound,yoboiidave,5,1948026,7186,10910945,6058,"[""@k0uvr"",""@alexwaarren""]",[],2020-03-15,17.97525328924305,1
100%😳😳😳 @larrayeeee @lilhuddy,1584139271,thehypehouse,376697328,219,original sound,larrayeeee,14,1569764,7551,8988420,6762,"[""@larrayeeee"",""@lilhuddy""]",[],2020-03-13,17.623531165655365,1
Fun days at the hype house,1584065133,thehypehouse,376697328,219,original sound,thehypehouse,41,2559643,12541,11160154,8730,[],[],2020-03-12,23.126150409752412,1
blooperz😂👉🏻👈🏻,1584050971,thehypehouse,376697328,219,Roses - Imanbek Remix,SAINt JHN,15,1439492,7297,8700544,4838,[],[],2020-03-12,16.68432456637194,1
hype house lit 🔥😭 @lilhuddy @nickaustinn @rylandstormss ib: @mattiapolibio,1584050892,thehypehouse,376697328,219,Roses - Imanbek Remix,SAINt JHN,15,1514163,8616,9274650,5477,"[""@lilhuddy"",""@nickaustinn"",""@rylandstormss"",""@mattiapolibio""]",[],2020-03-12,16.47777544166087,1
rockstar style🥵 @tonylopez__ @lilhuddy,1583887845,thehypehouse,376697328,219,sonido original,tonigv,7,2581273,14720,17463701,13204,"[""@tonylopez__"",""@lilhuddy""]",[],2020-03-10,14.940687543837358,1
Draft things @avani @rylandstormss,1583781165,thehypehouse,376697328,219,original sound,thehypehouse,12,2261081,6214,10135981,7047,"[""@avani"",""@rylandstormss""]",[],2020-03-09,22.43830172925541,1
@avani @rylandstormss,1583716497,thehypehouse,376697328,219,original sound,fire.soundz0,7,1187223,3222,7017057,5150,"[""@avani"",""@rylandstormss""]",[],2020-03-08,17.038410832347523,1
we stylin today @tonylopez__ @lilhuddy,1583713381,thehypehouse,376697328,219,max and rubyyy,giannalavecchia,9,970560,3716,6474282,4984,"[""@tonylopez__"",""@lilhuddy""]",[],2020-03-08,15.125383787731211,1
We tried lol @alexwaarren @k0uvr,1583705683,thehypehouse,376697328,219,"Need A Freak (feat. Huncho Da Rockstar, Kblast, Number9ok)",Mighty Bay,8,1611261,7792,10310485,5253,"[""@alexwaarren"",""@k0uvr""]",[],2020-03-08,15.753924281932422,1
@nourkhodr new song is 🔥,1583451568,thehypehouse,376697328,219,ACE,Nour Khodr,12,934880,7523,6570806,3658,"[""@nourkhodr""]",[],2020-03-05,14.397944483523025,1
first day doin this tik tok thing! just learned how to #woah !! @lilhuddy,1583345739,thehypehouse,376697328,219,juless,edits.a.r,11,3239949,9617,17322644,13252,"[""@lilhuddy""]","[{""id"":""20408"",""name"":""woah"",""title"":""Wait... one second... okay, WOAH! 🤜🏾🤛🏿"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/d1561cf473555f96ef29058bd3e6f341""]}]",2020-03-04,18.835565748508138,1
Coming soon 🚁 @alexwaarren @rylandstormss @ondreazlopez_ @tonylopez__,1583288369,thehypehouse,376697328,219,Something New (feat. Ty Dolla $ign),Wiz Khalifa,15,2106825,21720,12110743,17292,"[""@alexwaarren"",""@rylandstormss"",""@ondreazlopez_"",""@tonylopez__""]","[{""id"":""22142"",""name"":""somethingnew"",""title"":""We got something new to do for the week💃🏾\n\nHow to shoot: \n1) Click the shoot icon. \n2) Click on 'sounds' at the top of your screen and select the 1st sound. \n3) Get some friends together! \n4) Add #somethingnew to your caption."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/c7ce30719a887be1f954690f0b9ecfc0""]},{""id"":""128691"",""name"":""givemesomething"",""title"":"""",""cover"":[]}]",2020-03-03,17.718458727098742,1
