text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
our own version of @yodelinghaley ‘s dance?!?!? #dance #twins @jameswrightt,1576555541,jack.wright,53058689,162,Say So,Doja Cat,11,230379,3501,2116679,571,"[""@yodelinghaley"",""@jameswrightt""]","[{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]}]",2019-12-17,11.07636065742609,0
a lil’ OLD SCHOOL VIBE?!?!? 😳 #foryou #twins #dance @jameswrightt,1576372107,jack.wright,53058689,162,P.Y.T.,goalsounds,9,264130,7557,1984982,1053,"[""@jameswrightt""]","[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]},{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]}]",2019-12-15,13.740174973878858,0
we really vibin’ in the 🌧  #dance #twins #foryou @jameswrightt,1575757004,jack.wright,53058689,162,TONGUED TIED 223s by Adam Oh,adamohmusic,15,1150294,82066,7628510,6817,"[""@jameswrightt""]","[{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]},{""id"":""12899"",""name"":""twins"",""title"":"""",""cover"":[]},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]}]",2019-12-08,16.244024062366044,0
walmart versions of the Lopez Brothers!?!?! #foryou #dance,1575077834,jack.wright,53058689,162,Falling,Trevor Daniel,15,1202790,55191,6676011,9731,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""5054"",""name"":""dance"",""title"":""Got moves like Jagger? Show your dance moves for a chance to get featured!"",""cover"":[""https://p16-sg-default.akamaized.net/obj/tiktok-obj/1616636214016018.JPEG""]}]",2019-11-30,18.989063978474572,0
Got kicked out of the gym for this. Don’t let it flop #foryou #foryourpage #TheReplay,1574388805,jack.wright,53058689,162,original sound,bracefaceeyaya_,14,81321,2396,1194204,193,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""1598498371111942"",""name"":""foryourpage"",""title"":"""",""cover"":[]},{""id"":""25571997"",""name"":""TheReplay"",""title"":""#TheReplay is back for NBA All-Star 2020! Show off your best dunks, dribbles, and dimes for a chance to make it on to a future episode of Nike PLAYlist. Challenge your friends and don’t forget to tag #TheReplay.\n\nNike PLAYlist went live for the first time ever with Sky Katz, Ben Simmons, Josh Okogie, and Scottie Pippen. Click the link below to watch Replays from Josh and Scottie! ⬇️"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/202002139cc6fe876b70fc93450990f5""]}]",2019-11-22,7.026437694062321,0
GUYS WAIT FOR IT!!!!!!!! #foryou #foryoupage #viral,1573687509,jack.wright,53058689,162,RENEGADEEEE,prod.og,14,70040,647,983874,108,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""88764338"",""name"":""foryoupage"",""title"":"""",""cover"":[]},{""id"":""20884"",""name"":""viral"",""title"":"""",""cover"":[]}]",2019-11-14,7.195535200645612,0
The three amigos🌮 This took too long to let it flop #foryou #foryoupage #viral,1573334826,jack.wright,53058689,162,Fantasy - Bad Boy Fantasy,Mariah Carey feat. O.D.B.,15,81864,2153,944739,259,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""88764338"",""name"":""foryoupage"",""title"":"""",""cover"":[]},{""id"":""20884"",""name"":""viral"",""title"":"""",""cover"":[]}]",2019-11-10,8.920559011536518,0
Tell me I wasn’t the only one #foryou #foryoupage #viral #clubpenguin,1573089738,jack.wright,53058689,162,Good Morning,Mak Sauce,9,56445,975,822733,143,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""88764338"",""name"":""foryoupage"",""title"":"""",""cover"":[]},{""id"":""20884"",""name"":""viral"",""title"":"""",""cover"":[]},{""id"":""625483"",""name"":""clubpenguin"",""title"":"""",""cover"":[]}]",2019-11-07,6.996559029478579,0
Am I Ross Lynch yet #teenbeachmovie #foryou #foryoupage,1572659523,jack.wright,53058689,162,original sound,jack.wright,15,135619,4828,1106244,969,[],"[{""id"":""39688"",""name"":""teenbeachmovie"",""title"":"""",""cover"":[]},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""88764338"",""name"":""foryoupage"",""title"":"""",""cover"":[]}]",2019-11-02,12.783436565531655,0
Where all my Chads at😤 #foryou #forypupage,1572205431,jack.wright,53058689,162,оригинальный звук,___.i.m.v.u.___,9,29161,621,647186,75,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""1596220248086533"",""name"":""forypupage"",""title"":"""",""cover"":[]}]",2019-10-28,4.6133569020343455,0
Loop? #halloweekend #foryou #fyp,1572057033,jack.wright,53058689,162,Wake Up,Lil Toe,8,36046,441,553122,65,[],"[{""id"":""1641121"",""name"":""halloweekend"",""title"":""#Halloweekend is here. 🎃👻 Share #Halloweekend videos to earn points and get TikTok Rewards from your favorite brands. For more details about TikTik Rewards, search #Rewards and visit http://vm.tiktok.com/am7v6a/."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/c9607f36f82ce91612cc17f59ac05deb""]},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""229207"",""name"":""fyp"",""title"":"""",""cover"":[]}]",2019-10-26,6.608307028105916,0
She broke up with me cuz I look too much like her mom😪 #foryou #foryoupage,1571781823,jack.wright,53058689,162,Eyes. Lips. Face. (e.l.f.),iLL Wayno,15,37338,387,468925,75,[],"[{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":[]},{""id"":""88764338"",""name"":""foryoupage"",""title"":"""",""cover"":[]}]",2019-10-23,8.060990563522951,0
