text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
Like 8.5% @lilhuddy,1575319299,petroutv,208898201,668,original sound,fylertunke,5,53923,385,527192,154,"[""@lilhuddy""]",[],2019-12-03,10.330581647672954,0
I'm punny @charlidamelio,1575316200,petroutv,208898201,668,original sound,petroutv,8,935726,13618,5732119,3173,"[""@charlidamelio""]",[],2019-12-03,16.61718816374887,0
We're not supposed to be here @charlidamelio,1575242138,petroutv,208898201,668,original sound,petroutv,14,523693,3276,2727802,1225,"[""@charlidamelio""]",[],2019-12-02,19.36335555146598,0
Plane kinda fell apart,1575241312,petroutv,208898201,668,Lottery,K CAMP,11,214394,1227,1400286,961,[],[],2019-12-02,15.466983173437427,0
If only y'all could hear the audio,1575235243,petroutv,208898201,668,FML,Arizona Zervas,15,69297,412,580394,179,[],[],2019-12-02,12.041475273693388,0
Roomies,1575232899,petroutv,208898201,668,original sound,petroutv,15,61626,570,479000,221,[],[],2019-12-02,13.030688935281837,0
Pt 2,1575231727,petroutv,208898201,668,original sound,petroutv,15,37910,180,394137,63,[],[],2019-12-02,9.680136602247442,0
Pt 1 @charlidamelio @calvingoldby,1575231224,petroutv,208898201,668,original sound,petroutv,14,47816,324,397727,147,"[""@charlidamelio"",""@calvingoldby""]",[],2019-12-02,12.140739753650116,0
@charlidamelio,1575161176,petroutv,208898201,668,original sound,petroutv,7,240172,6965,1469234,1712,"[""@charlidamelio""]",[],2019-12-01,16.937329247757678,0
She's 6'4 @charlidamelio @alexwaarren,1575156605,petroutv,208898201,668,original sound,petroutv,11,504480,1955,3968175,1098,"[""@charlidamelio"",""@alexwaarren""]",[],2019-12-01,12.790086122713843,0
Charli wanted to make a Tik Tok on my account @charlidamelio,1575154617,petroutv,208898201,668,A m e r i c a n B o y,favsoundds,10,67915,421,467869,185,"[""@charlidamelio""]",[],2019-12-01,14.64533875935358,0
Yes I am Greek 🇬🇷,1574985336,petroutv,208898201,668,original sound,petroutv,15,44400,679,413206,971,[],[],2019-11-29,11.144562276443228,0
HAHAHAH @alexwaarren,1574801749,petroutv,208898201,668,original sound,petroutv,11,37317,195,292300,73,"[""@alexwaarren""]",[],2019-11-27,12.858364693807731,0
I hate myself😂,1574795414,petroutv,208898201,668,Original Sound - yungtubesock,yungtubesock,7,54858,405,407560,251,[],[],2019-11-27,13.621061929531846,0
